"courseCode","courseName","courseCredit","courseCategory","courseAvailability","descriptions","created_at","updated_at"
"LMCB1623","KELANASISWA 2","3","C6","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB1642","PERTOLONGAN CEMAS ASAS","2","C6","","Kursus ini bertujuan memberi kefahaman tentang pengetahuan pertolongan cemas asas dalam usaha menyelamatkan nyawa, mengelakkan keadaan mangsa dari menjadi lebih teruk dan memberi kelegaan dan keselesaan kepada mangsa. Sepanjang kursus, pelajar diberi pendedahan berkaitan teknik-teknik dan kemahiran memberikan pertolongan cemas serta teknik melakukan CPR bagi persediaan menghadapi sebarang kemalangan.
Di akhir kursus, pelajar berupaya memberi rawatan pertolongan cemas untuk diri sendiri, keluarga dan masyarakat.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3114","PALAPES TENTERA DARAT PERINGKAT RENDAH","4","C1","","Kursus ini merupakan asas kepada PALAPES. Ia bertujuan untuk membangunkan jati diri pelajar UKM melalui input asas ketenteraan. Kursus ini berorientasikan akademik, latihan fizikal dan penilaian berterusan bagi melahirkan pelajar yang mempunyai etika, nilai dan jati diri. Melalui kursus ini pelajar akan didedahkan dengan pengetahuan ketenteraan, kenegaraan, bina diri, latihan fizikal, lawatan dan perkhemahan. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk amali pembelajaran.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3123","SUKSIS 2 (ETIKA, KEPIMPINAN, DAN KHIDMAT MASYAR","3","C1","","Kursus ini merupakan kursus lanjutan dalam Kor Suksis. Fokus kursus adalah berkenaan etika dalam perkhidmatan awam dan memupuk ciri-ciri kepimpinan dalam kalangan ahli Kor Suksis. Peserta juga akan terlibat dalam merancang dan melaksana program khidmat masyarakat.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3133","KOR SISWA SISWI PERTAHANAN AWAM (ASAS)","3","C1","","Kursus ini bertujuan memberi kefahaman dan pengetahuan asas kepada pegawai kadet Sispa mengenai pertahanan awam. Pelajar akan didedahkan mengenai latihan teori dan praktikal, akta & peraturan dan pengurusan Pertahanan Awam. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk kuliah interaktif, kerja lapangan, pembelajaran berasaskan kumpulan/individu dan demonstasi/simulasi. Di akhir kursus ini, pelajar dapat memahami tanggungjawab dan pengurusan Pertahanan Awam serta melibatkan diri dalam khidmat kesukarelawan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3333","SUKSIS 3 (UNDANG-UNDANG DAN SIASATAN)","3","C3","","Kursus ini membincangkan undang-undang dan peraturan yang berkuatkuasa di Malaysia mengenai jenayah, trafik, nakotik dan komersil. Siasatan akan merujuk kepada bagaimana kesalahan berlaku dan yang dilakukan dan apakah peraturan yang sesuai untuk disabitkan. Prosedur sasatan perlu disesuaikan dengan jenis kesalahan dan juga bahan bukti yang diperoleh.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3334","PALAPES TENTERA DARAT PERINGKAT TINGGI","4","C3","","Kursus ini merupakan peringkat tinggi latihan PALAPES. Ia menekankan aspek pemikiran logik dan analitikal. Kursus ini berorientasikan aplikasi pengetahuan dan kemahiran praktikal elemen-elemen ketenteraan dalam kehidupan seharian. Melalui kursus ini pelajar menyasarkan dirinya untuk ditauliahkan oleh Yang di-Pertuan Agong sebagai pegawai muda dalam Angkatan Tentera Malaysia.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3424","PALAPES TENTERA DARAT PERINGKAT PERTENGAHAN","4","C4","","Kursus ini merupakan tahap pertengahan kepada PALAPES. Ia bertujuan untuk mengaplikasikan amalan kepimpinan melalui input latihan ketenteraan. Kursus ini berorientasikan teori, latihan fizikal, simulasi dan penilaian berterusan . Melalui kursus ini pelajar akan dilengkapkan dengan rutin organisasi dan kemasyarakatan. Pengajaran dan pembelajaran akan dilaksanakan dengan menggunkaan kaedah sumbang-saran, tutorial, lawatan dan demonstrasi.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3443","KOR SISWA SISWI PERTAHANAN AWAM (KEMAHIRAN)","3","C4","","Kursus ini bertujuan memberi pengukuhan pembelajaran dan pembangunan kemahiran kepada pegawai kadet Sispa dalam pertahanan awam. Pelajar akan didedahkan mengenai latihan teori dan praktikal, kemahiran diri dan pengurusan Pertahanan Awam. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk kuliah interaktif, kerja lapangan, pembelajaran berasaskan kumpulan/individu dan demonstasi /simulasi. Di akhir kursus ini, pelajar boleh meningkatkan kemahiran dan pengurusan dalam Pertahanan Awam.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3512","SUKSIS 1 (PENGENALAN KEPADA KAWAD DAN SENJATA","2","C5","","Kursus ini merupakan kursus asas dalam Kor Suksis. Fokus kursus adalah berkenaan tatacara melakukan pergerakan asas dalam kawad secara berpasukan, kemahiran mengenalpasti senjata dan menggunakan senjata. Peserta juga akan di bawa untuk latihan menembak di lapang sasar yang ditetapkan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3613","BULAN SABIT MERAH MALAYSIA 1","3","C6","","Kursus ini bertujuan memberi kefahaman tentang pengetahuan pertolongan cemas dalam usaha menyelamatkan nyawa, mengelakkan keadaan mangsa dari menjadi lebih teruk dan memberi kelegaan dan keselesaan kepada mangsa. Kursus ini juga memberi pengetahuan dan kefahaman mengenai struktur organisasi dan tujuh prinsip pergerakan Palang Merah dan Bulan Sabit Merah. Sepanjang kursus, pelajar diberi pendedahan berkaitan pendidikan palang merah dan bulan sabit merah, teknik-teknik dan kemahiran memberikan pertolongan cemas serta teknik melakukan CPR bagi persediaan menghadapi sebarang kemalangan. Di akhir kursus, pelajar berupaya memberi rawatan pertolongan cemas untuk diri sendiri, keluarga dan masyarakat.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3623","BULAN SABIT MERAH MALAYSIA 2","3","C1","","Kursus ini bertujuan memberikan latihan serta menguji kecekapan, kesiapsiagaan dan kebolehan menghadapi ancaman bencana alam. Pelajar akan didedahkan dengan pelan persediaan awal sebagai langkah persiapan bagi memastikan peranan dalam pengurusan bencana alam dan operasi menyelamat seperti telah digariskan dalam arahan Majlis Keselamatan Negara No. 20 dilaksanakan dengan jayanya. Pelajar akan diberi kefahaman tentang pengetahuan pertolongan cemas lanjutan dalam usaha menyelamatkan nyawa, mengelakkan keadaan mangsa dari menjadi lebih teruk dan memberi kelegaan dan keselesaan kepada mangsa.
Sepanjang kursus, pelajar diberi pendedahan berkaitan dengan pengendalian operasi bantuan bencana alam dan menyelamat. Pelajar juga diajar mengendalikan rawatan kes kecemasan kepada mangsa yang mengalami kemalangan. Di akhir kursus, pelajar dapat mengaplikasikan dan mengajar orang awam mengenai pengendalian bantuan bencana dan kes kecemasan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3632","BULAN SABIT MERAH MALAYSIA 3","2","C4","","Kursus ini bertujuan memberikan kefahaman mengenai Konvensyen Geneva dan protokol-protokol tambahan. Sepanjang kursus, pelajar diberi pendedahan berkaitan undang-undang kemanusiaan antarabangsa. Pelajar berupaya untuk mengaplikasikan kaedah mengajar dengan berkesan. Di akhir kursus, pelajar dapat menghuraikan prinsip-prinsip Palang Merah dan Bulan Sabit Merah dan menganjurkan kursus-kursus pensijilan BSMM.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCB3652","KOR SISWA SISWI PERTAHANAN AWAM (PEGAWAI)","2","C6","","Kursus ini bertujuan untuk memberi pengetahuan, kemahiran dan pengalaman untuk kegunaan seharian dari aspek kesihatan dan kecergasan menyeluruh yang mengintegrasikan komponen-komponen kecergasan fizikal, emosi, sosial dan kerohanian. Pelajar akan didedahkan secara teori dan praktikal di dalam aspek senaman, pemakanan, mengawal stress, teknik pergaulan yang sihat serta nilai-nilai kerohanian yang menyumbang kepada wellness seseorang.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCK1331","KOMUNIKASI EFEKTIF","1","C2","","Kursus ini bertujuan untuk membangun kemahiran penggunaan bahasa, kemahiran berkomunikasi dengan efektif dan kemahiran literasi untuk mengurus maklumat. Pelajar akan didedahkan dengan aktiviti berteraskan bahasa dan komunikasi selaras dengan perkembangan semasa. Kursus ini melengkapkan pelajar UKM menjadi individu yang berkebolehan dari aspek bahasa dan komunikasi di samping berdaya saing untuk menghadapi persekitaran profesional dalam menyampaikan idea dan pandangan yang kritis dan dinamik.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCK1421","PEMIKIRAN KRITIKAL & PENYELESAIAN MASALAH","1","C3","","Kursus ini bertujuan untuk memupuk kemahiran berfikir secara kritis dalam menyelesaikan masalah. Pelajar akan didedahkan dengan aktiviti yang merangsang pemikiran kritis melalui simulasi penyelesaian masalah. Pelajar turut dilatih mempraktikkan pemikiran tersebut untuk cuba menyelesaikan masalah yang relevan. Pada akhir kursus ini, pelajar boleh menggunakan kemahiran pemikiran kritis untuk mengenal pasti tindakan tepat bagi melaksanakan tugas yang diamanahkan. Pelajar juga akan mampu mencari jalan ke arah menyelesaikan masalah dan menyedari implikasi hasil daripada tindakan yang diambil. Kaedah pengajaran dan pembelajaran yang diguna dalam kursus ini melibatkan pembelajaran berasaskan masalah.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCK1531","KEPIMPINAN & KREATIVITI","1","C4","","Kemahiran kepimpinan dan kreativiti adalah penting bagi menjamin graduan yang berketerampilan dan mampu bersaing dalam alam pekerjaan. Ia melibatkan keupayaan untuk mengamalkan kepimpinan dan kreativiti dalam pelbagai aktiviti dan situasi. Pelajar akan didedahkan kepada aspek kebolehan untuk bekerjasama dengan orang lain, merancang, mengendali, membuat keputusan, mengawal dan menilai bagi mencapai matlamat organisasi. Di akhir kursus ini pelajar mampu mengarah, menyelaras dan memimpin kumpulan secara terancang ke arah mencapai matlamat. Mereka juga mampu berfikir secara kreatif melalui analisis, mentafsir dan menilai dalam mencapai satu kesimpulan yang kukuh. Kursus ini akan dijalankan melalui pendekatan kuliah, projek berasaskan masalah dan perbincangan kumpulan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCK1621","ETIKA & PROFESIONAL","1","C1","","Kursus ini bertujuan untuk menerapkan nilai-nilai etika dan profesionalisme di kalangan pelajar melalui perlaksanaan aktiviti-aktiviti yang dirancangkan. Pelajar akan didedahkan dengan aktiviti-aktiviti yang bertujuan membangunkan tahap kecekapan, akauntabiliti, tanggungjawab, sikap boleh melaksanakan tugasan secara berintegriti dan amanah. Kursus ini seharusnya melengkapkan pelajar menjadi individu yang berkeperibadian murni dan bertanggungjawab terhadap diri sendiri dan masyarakat. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk perbincangan dalam kumpulan dan simulasi.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCK2711","TANGGUNGJAWAB ALAM SEKITAR","1","C5","","Kursus ini bertujuan membina kefahaman dan sikap bertanggungjawab terhadap isu alam sekitar dan impaknya kepada masyarakat. Melalui kursus ini, pelajar akan didedahkan terhadap isu pemuliharaan dan kelestarian alam sekitar dalam membangun dan mengguna sains dan teknologi dalam kehidupan, menguasai kemahiran pengurusan maklumat dan pembelajaran sepanjang hayat untuk memilih teknologi yang menjamin kelestarian alam sekitar dalam kehidupan seharian. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk pengalaman pembelajaran, pembelajaran berasaskan masalah, dan Service Learning.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCK2811","SOSIAL & KEBERTANGGUNGJAWABAN","1","C6","","Kursus ini adalah bertujuan untuk membangunkan kemahiran sosial dan kebertanggungjawaban pelajar melalui pelbagai aktiviti dalam program yang berasaskan komuniti (community-based programme). Pelajar dikehendaki merancang dan mengikuti aktiviti yang boleh membawa perubahan dan memberi impak positif kepada masyarakat. Melalui aktiviti ini, pelajar akan dapat mengasah bakat dan menggarap kemahiran sosial dan kebertanggungjawaban dalam suasana pembelajaran yang luwes (flexible). Di akhir kursus ini, pelajar mampu berinteraksi dengan semua lapisan masyarakat, peka terhadap permasalahan masyarakat dan sekelilingnya serta mengambil inisiatif untuk melibatkan diri dalam komuniti.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCK2922","KEMAHIRAN INSANIAH","2","C6","","Kokurikulum berkredit berasaskan kontrak pembelajaran yang merentasi pendidikan Citra 1 sehingga Citra 6 adalah aktiviti pemacu kendiri pelajar (student-driven) bermatlamat ke arah pemerolehan pengetahuan secara afektif dan psikomotor melalui kompetensi pelajar. Aktiviti atau program dijalankan di pelbagai pusat pembelajaran (learning centres) yang dipilih mengikut minat dan kecenderungan bagi mengasah bakat dan menggarap kemahiran dalam suasana pembelajaran yang luwes (flexible) dan menyeronokkan (enjoyable). Penyertaan dan penghayatan pembelajaran melalui pengalaman (experiential learning) menerusi aktiviti yang bersifat asli (authentic) menjadikan kokurikulum sebagai wadah pelengkap kepada pengalaman pembelajaran menyeluruh (total learning experience) berasaskan sikap saling mempercayai dan jujur (honour) selaras dengan matlamat dan aspirasi UKM.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1022","SENI BERINOVASI","2","C4","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1102","HAK ASASI MANUSIA, SISTEM PBB & MASYARAKAT MA","2","C1","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1112","FALSAFAH PENDIDIKAN ISLAM","2","C1","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1212","KOMUNITI DAN LITERASI","2","C2","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1312","ASAS PEMIKIRAN SAINTIFIK DALAM PERADABAN MAN","2","C3","","Kursus ini memberi pencerahan kepentingan pemikiran saintifik yang merupakan asas penaakulan dalam peradaban manusia, khususnya dalam dunia akademik hari ini. Perbincangan asas dalam kursus ini menyentuh pendedahan fahaman asas tentang Sains dan Matematik, dan falsafah yang terkandung di dalamnya. Di samping itu, kursus ini juga memberi gambaran asas tentang paradigma penyelidikan, rupabentuk sesebuah penyelidikan serta asas penyelidikan berbentuk kuantitatif dan kualitatif. Selain itu, kursus ini juga menyentuh sedikit sebanyak realiti perkembangan pemikiran saintifik dalam membangunkan peradaban manusia. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk pengalaman pembelajaran, pembelajaran terarah, dan pembelajaran berpaksikan hasilan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1342","PENULISAN LAPORAN KAJIAN","2","C3","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1352","ASAS-ASAS SAINS DATA DALAM PENGANGKUTAN","2","C3","","Matlamat kursus ini ialah mendedahkan pelajar kepada sains data dalam pengangkutan. Pada hari ini data terkumpul amat banyak dan boleh dimanfaatkan untuk memahami keadaan dan untuk membuat ramalan. Kursus ini akan membawa pelajar secara praktikal untuk melombong data, penyediaan data untuk sains data, visualisasi data, soalan-soalan yang boleh dijawab dengan data, pemodelan dan membuat ramalan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1412","KEUSAHAWANAN DAN KEPIMPINAN","2","C4","","Kursus ini bertujuan mengintegrasikan teori dan amalan. Pendekatan kursus secara umum berbentuk ‘hands-on’ yang akan dipelajari melalui bengkel, kajian kes, refleksi metakognitif dan memimpin satu projek keusahawanan kecil secara berkumpulan. Pelajar akan belajar maksud kepimpinan dari pelbagai disiplin, bagaimana membuat keputusan keusahawanan sebagai pemimpin yang bercirikan inisiator/innovator/peneraju berdasarkan input-input persekitaran perniagaan, ekonomi, sosial, perkembangan sains dan teknologi semasa. Pelajar akan belajar bagaimana menjalankan kajian kes secara teknikal dan saintifik untuk mengumpul data dan maklumat dalam menentukan sesuatu projek keusahawanan itu “viable” atau tidak. Semasa menjalankan projek keusahawanan kecil, pelajar menimba ilmu dan menguasai kemahiran kepimpinan dan keusahawanan berasaskan pengalaman. Disamping itu, pelajar akan membuat refleksi metakognitif setiap langkah dan strategi yang diambil semasa menjalankan projek tersebut.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1422","NETPRENEUR' USAHAWAN ATAS TALIAN","2","C4","","Kursus ini akan memperkenalkan kepada para pelajar kepada konsep perniagaan atas talian dan bagaimana digital ekonomi akan memberi impak kepada permintaan dan penawaran produk dan perkhidmatan. Penekanan akan diberikan kepada kemahiran pelajar membangunkan laman web niaga menggunakan enjin Wordpress. Laman web ini juga boleh digunakan untuk meletakkan resume pelajar untuk rujukan majikan. Para pelajar juga akan diberi panduan strategi pengiklanan atas talian menggunakan sosial media.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1502","POKOK BERKHASIAT DAN MENGUKUHKAN JALAN RAY","2","C5","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1512","SAINS & TEKNOLOGI UNTUK KESEJAHTERAAN MASYAR","2","C5","","Kursus ini mendedahkan para pelajar kepada aplikasi umum sains dan teknologi serta impaknya terhadap masyarakat dan kelestarian. Melalui pendedahan tersebut mereka dijangka dapat memahami impak sains dan teknologi kepada masyarakat dan kelestarian serta memberi respon kepada isu-isu sains dan teknologi semasa. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk forum dan pembelajaran berasaskan masalah.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1522","PENJELAJAHAN EKOSISTEM ALAM SEKITAR","2","C5","","Kursus ini memperkenalkan konsep Penjelajahan Ekosistem melalui paltform ekorelawan atau sukarelawan alam sekitar. Aspek kesukarelawanan dalam kalangan belia menjadi perhatian utama kerajaan melalui pelancaran iM4U oleh Perdana Menteri. Ini telah menunjukkan bahawa aktiviti kesukarelawan menjadi fokus utama kerajaan dalam memberikan sumbangan dan impak yang berkesan kepada masyarakat. Melalui iM4U golongan belia diberikan keutamaan untuk merealisasikan impian mereka untuk mengubah kehidupan masyarakat kepada kehidupan yang lebih baik disamping memberikan keyakinan dan menyokong kebolehan mereka untuk merancakkan program transformasi Negara untuk menuju kepada matlamat Negara berpendapatan tinggi.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1532","PEMBANGUNAN BANDAR MAPAN","2","C5","","Matlamat kursus ini ialah mendedahkan pelajar kepada pembangunan mapan dalam pandangan Islam. Termasuk dalam kursus ini ialah perbincangan-perbincangan mengikut asas-asas Qur’an, hadis dan pandangan ulama mengenai alam sekitar, sosial dan ekonomi dalam pembangunan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1542","MIKROB UNTUK KESEJAHTERAAN MANUSIA","2","C5","","Perkataan mikrob tidak mudah di fahami dalam masyarakat. Justeru peranan dan kesannya tidak mudah difahami sebaiknya. Kursus ini beri tumpuan kepada penjelasan kewujudan, nama dan jenis serta sifat dan perbuatan mikrob sebagai makhluk semulajadi yang cukup tinggi daya hidup justeru penting dalam kehidupan manusia, baik dalam hal penjagaan aras kesihatan sehingga kepada penghasilan barangan yg manusia perlu. Pelajar akan di beri beberapa persoalan dalam masyarakat yang perlu difikir penyelesaian. Isu pengukuran keberkesanan tindakbalas mikrob dalam proses tertentu akan dibincang dalam kerangka pembangunan industri bioteknologi watan meliputi kegiatan huluan, penghasilan, hiliran dan pemasaran. Pelajar juga akan didedahkan kepada kemungkinan penyalahgunaan mikrob dan risikonya kepada masyarakat dan alam sekitar.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1552","PEMBANGUNAN MAPAN DALAM ISLAM","2","C5","","Matlamat kursus ini ialah mendedahkan pelajar kepada pembangunan mapan dalam pandangan Islam. Termasuk dalam kursus ini ialah perbincangan-perbincangan mengikut asas-asas Qur’an, hadis dan pandangan ulama mengenai alam sekitar, sosial dan ekonomi dalam pembangunan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCP1562","MATEMATIK DAN MASYARAKAT","2","C5","","Kursus ini bertujuan untuk memberi pendedahan kepada umum tentang dunia matematik dari segi sejarah, penggunaan dan pembangunannya. Kursus ini akan turut menerangkan cara pemikiran dan pendekatan yang diambil oleh ilmuan matematik untuk menangani sesuatu masalah. Khususnya kursus in akan cuba menjawab persoalan seperti ‘Apa itu Matematik?’, ‘Di manakah adanya matematik?’, ‘Apakah peranan matematik?’ dan pelbagai lagi persoalan yang berkaitan. Setelah mengikuti kursus ini para pelajar diharapkan dapat lebih menghayati peranan matematik dan sekaligus membetulkan tanggapan umum tentang matematik sebagai ilmu ‘kira – mengira’ sahaja.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
